Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2017-01-31,3.684,3.926,3.489,3.872
2017-02-28,3.888,3.93,3.704,3.821
2017-03-31,3.845,3.87,3.491,3.507
2017-04-30,3.496,3.504,3.354,3.442
2017-05-31,3.479,3.516,3.213,3.246
2017-06-30,3.248,3.411,3.118,3.307
2017-07-31,3.355,3.451,3.249,3.386
2017-08-31,3.372,3.456,3.261,3.296
2017-09-30,3.3,3.425,3.122,3.381
2017-10-31,3.376,3.543,3.265,3.443
2017-11-30,3.438,3.521,3.307,3.343
2017-12-31,3.365,3.382,3.204,3.302
2018-01-31,3.319,3.53,3.212,3.464
2018-02-28,3.56,3.611,3.358,3.376
2018-03-31,3.382,3.405,3.174,3.174
2018-04-30,3.177,3.225,2.96,3.087
2018-05-31,3.074,3.39,3.071,3.27
2018-06-30,3.269,3.379,3.132,3.229
2018-07-31,3.255,3.357,3.07,3.18
2018-08-31,3.195,3.217,3.084,3.207
2018-09-30,3.206,3.364,3.159,3.265
2018-10-31,3.268,3.407,3.1,3.225
2018-11-30,3.269,3.37,2.977,3.054
2018-12-31,3.045,3.129,2.81,2.839
2019-01-31,2.81,2.918,2.631,2.734
2019-02-28,2.749,2.953,2.621,2.952
2019-03-31,2.955,2.995,2.784,2.843
2019-04-30,2.863,3.035,2.857,3.017
2019-05-31,3.013,3.09,2.631,2.666
2019-06-30,2.639,2.654,2.318,2.423
2019-07-31,2.405,2.405,1.975,2.198
2019-08-31,2.181,2.255,1.693,1.843
2019-09-30,1.858,2.194,1.789,2.004
2019-10-31,2.029,2.066,1.869,1.956
2019-11-30,1.978,2.23,1.934,2.001
2019-12-31,2.026,2.112,1.969,2.107
2020-01-31,2.112,2.345,2.058,2.132
2020-02-29,2.126,2.226,1.653,1.784
2020-03-31,1.783,2.313,1.333,1.658
2020-04-30,1.672,1.767,1.296,1.461
2020-05-31,1.467,1.554,1.137,1.163
2020-06-30,1.166,1.494,1.166,1.363
2020-07-31,1.388,1.409,1.245,1.264
2020-08-31,1.27,1.431,1.245,1.39
2020-09-30,1.374,1.404,1.283,1.303
2020-10-31,1.304,1.362,1.115,1.176
2020-11-30,1.176,1.28,1.113,1.227
2020-12-31,1.228,1.421,1.204,1.228
2021-01-31,1.22,1.261,1.133,1.149
2021-02-28,1.151,1.583,1.137,1.583
2021-03-31,1.597,1.663,1.434,1.548
2021-04-30,1.566,1.715,1.438,1.7
2021-05-31,1.707,1.998,1.638,1.851
2021-06-30,1.866,1.87,1.631,1.631
2021-07-31,1.622,1.755,1.47,1.702
2021-08-31,1.683,1.847,1.641,1.8
2021-09-30,1.837,2.191,1.834,2.167
2021-10-31,2.144,2.876,2.137,2.82
2021-11-30,2.816,3.406,2.816,3.036
2021-12-31,3.102,3.638,3.013,3.638
2022-01-31,3.687,4.121,3.686,4.076
2022-02-28,4.082,4.127,3.805,4.092
2022-03-31,4.076,5.547,3.947,5.192
2022-04-30,5.225,6.46,5.225,6.344
2022-05-31,6.345,7.014,6.345,6.534
2022-06-30,6.594,8.125,6.443,6.87
2022-07-31,6.706,6.997,5.431,5.542
2022-08-31,5.526,6.466,5.322,6.145
2022-09-30,6.18,7.319,5.74,7.115
2022-10-31,7.149,9.047,6.777,8.337
2022-11-30,8.315,8.591,6.546,6.581
2022-12-31,6.585,6.955,6.282,6.845
2023-01-31,6.847,6.851,5.736,5.997
2023-02-28,5.989,6.719,5.636,6.53
2023-03-31,6.53,6.643,5.796,6.043
2023-04-30,6.043,6.257,5.841,5.887
2023-05-31,5.938,6.189,5.693,6.022
2023-06-30,6.045,6.125,5.725,5.76
2023-07-31,5.761,5.945,5.296,5.415
2023-08-31,5.415,5.802,5.361,5.57
2023-09-30,5.57,5.958,5.517,5.899
2023-10-31,5.892,6.085,5.595,5.654
2023-11-30,5.651,5.736,5.393,5.502
2023-12-31,5.503,5.527,4.963,5.217
2024-01-31,5.19,5.479,4.948,5.226
2024-02-29,5.194,5.537,5.096,5.312
