Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2017-01-31,6253.74,7019.77,6225.8,6839.04,206027960
2017-02-28,6903.24,7616.04,6838.05,7241.32,218888507
2017-03-31,7298.88,7600.83,6991.74,6991.74,176915055
2017-04-30,7029.45,7588.89,6936.85,7484.97,120359588
2017-05-31,7540.02,7762,7272.51,7421.43,137471842
2017-06-30,7415.82,7497.4,7111.52,7261.87,105687868
2017-07-31,7260.4,7659.5,7246.87,7645.88,91178470
2017-08-31,7652.5,7696.86,7228.19,7609.01,122258968
2017-09-30,7593.02,7668.1,7347.7,7450.51,135101875
2017-10-31,7486.48,7727.27,7352.11,7727.27,210205689
2017-11-30,7747.62,8349.45,7600.97,8142.06,157610429
2017-12-31,8174.3,8547.02,7901.4,8481.97,112524857
2018-01-31,8478.58,9205.47,8369.63,8920.77,145073643
2018-02-28,8958.61,9020.2,8304.75,8341.56,119523386
2018-03-31,8310.84,8350.66,7745.85,7841.44,116156179
2018-04-30,7830.65,8070.41,7662.2,7899.2,107427397
2018-05-31,7900.28,8096.35,7366.98,7378.34,120574169
2018-06-30,7389.17,7781.91,7114.25,7219.4,103002478
2018-07-31,7148.52,7968.05,7079.09,7921.94,90670397
2018-08-31,7939.5,8197.65,7526.33,7934.25,192893146
2018-09-30,7928.07,8067.92,7400.05,7876.32,469992363
2018-10-31,7889.86,7954.33,7165.4,7314.54,137644267
2018-11-30,7407.63,7840.11,7040.86,7579.43,514379225
2018-12-31,7680.82,7807.38,7244.17,7453.65,291195890
2019-01-31,7415.39,7912.37,7385.8,7622.93,131543602
2019-02-28,7644.79,7833.23,7535.14,7558.37,102153458
2019-03-31,7618.47,7834.9,7491.47,7586.29,108105632
2019-04-30,7631.85,7947.46,7614.62,7776.5,88232555
2019-05-31,7767.57,7796.54,7141.12,7500.44,145114240
2019-06-30,7477.16,8019.6,7468.58,7908.32,116407198
2019-07-31,7994.92,8031.32,7363.4,7458.56,148190436
2019-08-31,7442.61,7483.46,6686.77,7028.06,142378453
2019-09-30,7044.93,7447.06,6913.63,7142.19,296539473
2019-10-31,7130.68,7331.35,6649.41,7083.87,175175089
2019-11-30,7131.6,7314.98,6761.8,6769.46,125276172
2019-12-31,6786.24,6807.22,6343.17,6768.39,94300802
2020-01-31,6805.71,6948.1,6593.62,6643.07,101667645
2020-02-29,6612.81,7033.53,5880.14,5891.59,104840279
2020-03-31,6020.49,6348.2,3868.77,4154.68,204774471
2020-04-30,4114.86,4460.95,3600.95,3951.94,240543093
2020-05-31,3904.94,4383.12,3622.55,3974.09,309149277
2020-06-30,4045.35,4649.69,3973.49,4157.2,341671488
2020-07-31,4162.32,4400.47,3841.9,3843.88,189821617
2020-08-31,3857.28,4194.91,3818.29,3869.7,108078314
2020-09-30,3890.48,3919.05,3523.42,3698.72,146962535
2020-10-31,3734.79,3980.82,3084.42,3155.99,151274081
2020-11-30,3181.87,4649.95,3163.14,4387.4,225886720
2020-12-31,4422.3,4954.58,4397.08,4765.33,189272991
2021-01-31,4748.76,5554.98,4714.93,4860.87,192544973
2021-02-28,4852.29,5410.36,4778.44,5225.83,182301632
2021-03-31,5273.71,5610.29,5242.34,5432.19,166339487
2021-04-30,5455.09,6007.08,5388.33,5869.76,108188221
2021-05-31,5890.38,6960.84,5750.16,6892.13,208811255
2021-06-30,6867.61,7165.58,6540.54,6547.82,157789371
2021-07-31,6566.93,6710.46,6208.96,6630.84,93947541
2021-08-31,6669.41,7585.83,6603.51,7585.83,381121034
2021-09-30,7608.25,7892.85,7334.85,7657.84,576996256
2021-10-31,7597.56,9522.22,7564.69,9401.15,466984122
2021-11-30,9453.8,9655.16,8069.58,8569.3,267035446
2021-12-31,8729.56,8770.21,7855.44,8640.27,172383203
2022-01-31,8691.15,9584.01,8599.41,9102.28,172389350
2022-02-28,9214.31,9455.83,6992.26,7854.84,194365834
2022-03-31,7848.16,7967.17,6063.47,7643.54,336099717
2022-04-30,7704.51,8001.66,6442.92,6466.84,259069923
2022-05-31,6453.45,6456.82,5488.82,6227.81,238819260.30189
2022-06-30,6225.71,6280.1,5357.04,5455.75,126819287
2022-07-31,5468.38,5595.69,4920.99,5250.34,182192890
2022-08-31,5264.28,5560,4779.71,4881.75,168458784
2022-09-30,4827.25,5366.67,4507.37,4570.65,181263476
2022-10-31,4531.45,5643.97,4418.18,5643.97,119750832
2022-11-30,5683.69,6372.58,5505.18,6135.09,126180874
2022-12-31,6251.46,6330.26,5927.82,6251.97,123644154
2023-01-31,6270.23,7338.5,6253.91,6720.3,181347807
2023-02-28,6709.53,6900.51,6329.08,6626.8,120085277
2023-03-31,6628.16,6760.65,5504.93,6268.86,147260623
2023-04-30,6313.63,7236.37,6271.5,6976.87,105713881
2023-05-31,7020.43,7382.4,6689.28,6951.8,125635257
2023-06-30,6975.88,7982.1,6965.46,7961.79,129734876
2023-07-31,8018.16,8861.17,7715.24,8824.36,89486670
2023-08-31,8837.92,8837.92,7961.91,8185.92,79534717
2023-09-30,8161.63,8290.05,7388.09,7656.52,90021813
2023-10-31,7627.52,9676.71,7349.34,9592.59,160824202
2023-11-30,9724.47,10630.29,9377.97,10545.9,96164558
2023-12-31,10587.83,11264.29,10576.05,11062.01,84483011
2024-01-31,11047.56,11255.87,10413.9,11241.72,108670604
2024-02-29,11137.94,12899.03,11137.94,12835.19,106868649
