Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2017-01-31,2877.86,3168.04,2870.99,3158.51,81161645
2017-02-28,3163.74,3433.97,3153.96,3411.86,88193501
2017-03-31,3403.85,3874.84,3403.1,3518.62,242953607
2017-04-30,3529.8,3663.25,3496.56,3625.77,74791464
2017-05-31,3646.95,3707.83,3382.1,3382.1,52562994
2017-06-30,3429.5,3519.86,3415.97,3470.78,33402518
2017-07-31,3475.18,3546.1,3278.01,3298.25,31096576
2017-08-31,3316.7,3367.64,3249.37,3262.12,645843426
2017-09-30,3263.1,3315.44,3110.3,3125.87,209148089
2017-10-31,3133.98,3137.33,2739.76,2756.35,164490023
2017-11-30,2766.95,2851.83,2635.63,2784.43,128700990
2017-12-31,2788.68,2864.55,2718.29,2819.16,161115066
2018-01-31,2831.83,2884.55,2753.28,2806.66,39847646
2018-02-28,2802.24,2826.18,2609.86,2723.81,41981557
2018-03-31,2739.93,2891.94,2673.63,2688.22,40350018
2018-04-30,2690.46,2785.37,2558.43,2577.6,67948123
2018-05-31,2580.48,2645.25,2347.82,2354.49,117298686
2018-06-30,2355.01,2391.98,2139.9,2143.1,86340742
2018-07-31,2147.73,2224.78,2059.51,2184.37,55819565
2018-08-31,2175.9,2196.19,2062.12,2102.39,47418888
2018-09-30,2090.91,2106.26,1846.29,1895.85,37028429
2018-10-31,1909,1982.24,1860.81,1979.06,28870717
2018-11-30,1987.67,2000.42,1848.3,1954.84,24938863
2018-12-31,1967.26,2046.3,1868.61,1915,25316444
2019-01-31,1919.14,2004.99,1905.26,1915.51,19184277
2019-02-28,1920.42,2008.23,1908.66,1989.05,42862594
2019-03-31,2007.39,2227.26,1997.54,2197.18,34056186
2019-04-30,2200.34,2237.74,2117.06,2134.94,25195394
2019-05-31,2147.07,2147.07,1981.05,2001.64,25812508
2019-06-30,2005.73,2109.52,1975.72,2092.92,28684195
2019-07-31,2099.48,2138.09,2027.23,2054.7,32018171
2019-08-31,2056.25,2061.05,1944.55,1968.83,19117813
2019-09-30,1978.06,2035.22,1880.09,1880.09,40730587
2019-10-31,1895.74,1936.41,1850.12,1926.25,42457406
2019-11-30,1952.14,2177.6,1941.31,2165.31,29955445
2019-12-31,2175.8,2327.26,2157.83,2278.75,25806633
2020-01-31,2293.68,2494.67,2283.79,2424.52,56533480
2020-02-29,2418.99,2471.31,2131.9,2179.68,47779204
2020-03-31,2167.49,2337.22,1796.25,1928.43,60864379
2020-04-30,1934.4,2329.18,1905.88,2324.42,61673335
2020-05-31,2336.14,2773.33,2291.95,2669.2,98888169
2020-06-30,2694.95,2855.56,2558.48,2754.02,92810653
2020-07-31,2764.76,2976.22,2763.46,2891.48,77774737
2020-08-31,2888.75,3020.77,2871.51,2945.12,47204904
2020-09-30,2934.17,2991.16,2741.2,2991.16,47475045
2020-10-31,2994.11,3113.94,2708.21,2784.6,29544358
2020-11-30,2744.78,3239.27,2744.78,3239.27,28259404
2020-12-31,3246.89,3663.66,3142.26,3662.06,49849743
2021-01-31,3681.87,4082.4,3681.87,3896.69,99884798
2021-02-28,3888.16,4150.11,3881.37,4150.11,70449699
2021-03-31,4038.36,4098.74,3860.52,3958.96,56869805
2021-04-30,3963.47,4151.22,3947.82,4113.34,40499906
2021-05-31,4140.21,4280.84,4046.11,4276.05,43136929
2021-06-30,4298.99,4326.35,4186.95,4212.95,29055851
2021-07-31,4212.57,4354.19,4037.99,4354.19,25152160
2021-08-31,4374.74,4501.42,4334.99,4400.55,35484126
2021-09-30,4405.39,4572.32,4276.4,4295.18,51592920
2021-10-31,4303.8,4391.02,4074.95,4099.3,41858381
2021-11-30,4095.9,4111.15,3672.65,3725.35,45167400
2021-12-31,3732.66,3950.78,3650.01,3763.2,46250087
2022-01-31,3825.94,4052.9,3627.97,3700.19,41470864
2022-02-28,3714.27,3810.81,3201.47,3508.54,65722399
2022-03-31,3541.38,3710.61,3224.82,3672.44,81720519
2022-04-30,3682.88,3738.27,3378.87,3385.76,29797103
2022-05-31,3392.89,3690.55,3267.38,3674.06,25060262
2022-06-30,3648.25,3717.58,3451.6,3676.19,19720549
2022-07-31,3696.34,3766.63,3548.25,3766.63,20531684
2022-08-31,3770.57,3950.69,3624.83,3724.67,30181356.98995
2022-09-30,3721.19,3759.61,3374.06,3485.1,15830107
2022-10-31,3423.12,3651.17,3393.46,3598.33,18936134
2022-11-30,3615.43,3964.98,3583.04,3930.61,28834351
2022-12-31,3925.31,4219.17,3899.51,4081.96,29744217
2023-01-31,4094.07,4344.32,4090.3,4245.92,69947059
2023-02-28,4251.61,4371.15,4157.12,4317.31,45841353
2023-03-31,4344.59,4632,4321.89,4599.55,32755347
2023-04-30,4614.37,5098.68,4593.13,5077.14,19446596
2023-05-31,5094.27,5146.25,4909.46,4934.7,23621088.27451
2023-06-30,4940.5,5257.04,4915.53,5257.04,22701320.465754
2023-07-31,5264.27,6169.95,5181.07,5785.14,52483787.545455
2023-08-31,5808.29,6739.18,5694.79,5914.07,23302982.330382
2023-09-30,5974.99,5988.97,5621.95,5867.43,26991191
2023-10-31,5876.02,6643.38,5529.89,6219.35,29700928
2023-11-30,6252.67,7151.59,6175.79,6916.48,31261550
2023-12-31,6914.21,7709.43,6856.67,7628.56,46628890
2024-01-31,7673.31,8187.12,7489.84,8145.21,57891611
2024-02-29,8123.04,8620.38,7913.37,8520.9,26344431
