Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2017-01-31,13909.56,16512.89,13798.29,16201.95,57311949
2017-02-28,16245.06,16780.08,15854.21,16338.33,41047313
2017-03-31,16505.49,16822.1,15822.52,16091.27,30560337
2017-04-30,16123.81,16699.53,15724.84,16090.56,31857646
2017-05-31,16532.92,16552.27,15054.7,15153.04,55233860
2017-06-30,15182.67,15490.69,14596.84,14778.71,20205449
2017-07-31,14764.38,15382.21,14514.37,14820.18,19726407
2017-08-31,14868.2,15363.72,14445.11,15363.72,34370196
2017-09-30,15295.52,16831.99,15088.53,16814.67,28127960
2017-10-31,16823.95,16867.39,15192.87,15812.1,34982347
2017-11-30,15767.67,16006.35,14898.29,15214.58,25509241
2017-12-31,15178.61,15305,14663.04,15297.93,35433238
2018-01-31,15282.45,16566.31,15054.79,15780.06,3400939
2018-02-28,15738.56,15923.62,13886.66,13910.74,2005403
2018-03-31,13906.22,14677.01,13250.32,13639.53,1896267
2018-04-30,13564.62,13861.95,12699.39,13157.37,2264297
2018-05-31,13173.6,13252.21,11534.26,11989.64,2802490
2018-06-30,12023.27,12955.08,11646.87,11891.5,5728260
2018-07-31,11885.8,12592.28,11723.75,12054.54,3559429
2018-08-31,12091.23,12266.66,10939.58,11297.78,4351023
2018-09-30,11353.83,11428.95,9382.6,9829.87,6004669
2018-10-31,9866.06,10052.78,7731.33,8452.03,7275945
2018-11-30,8231.11,9722.47,8133.3,9313.82,13574834
2018-12-31,9561.82,10010.11,9202.16,9350.86,6091298
2019-01-31,9405.32,10951.12,9279.76,10868.61,5792639
2019-02-28,10881.79,12965.32,10815.75,12690.82,4823451
2019-03-31,12784.76,12931.17,11482.29,11569.4,5395097
2019-04-30,11612.67,12176.75,10726.17,11211.46,2749181
2019-05-31,11090.59,11163.19,9617.36,10512.43,2946216
2019-06-30,10460.36,10733.81,10142.32,10645.19,3653738
2019-07-31,10742.59,11613.77,10602.18,10857.19,4189495
2019-08-31,10843.92,10917.57,9063.87,9428.26,2683065
2019-09-30,9511.07,9915.44,8494.65,8665.92,2289593
2019-10-31,8604.85,8899.56,7837.08,8707.03,4726596
2019-11-30,8700.64,9269.69,8323.29,8507.93,2357819
2019-12-31,8559.66,8591.74,8006.23,8390.97,2343949
2020-01-31,8409.46,8881.8,7676.2,7692.25,2602695
2020-02-29,7685.62,8300.1,6201.81,6583.49,4652274
2020-03-31,6656.57,7113.59,4549.78,5980.66,7153215
2020-04-30,5994.45,7865.95,5873.01,7865.95,6160545
2020-05-31,7651.95,8917.91,7401.69,8500.93,4239111
2020-06-30,8574.49,9415.48,7952.66,8067.33,4360115
2020-07-31,8108.97,8580.36,7545.66,7701.13,4948517
2020-08-31,7747.35,7894.62,7286.27,7522.33,2094704
2020-09-30,7514.34,7559.8,6412.82,6785.02,3008280
2020-10-31,6836.99,7199.14,5920.84,6028.69,3827139
2020-11-30,6057.47,7860.95,6049.61,7114.04,6196433
2020-12-31,7142.47,7997.85,6885.56,7697.82,6278240
2021-01-31,7756.04,8797.98,7712.66,7948.4,7656088
2021-02-28,8035.26,8661.76,7986.85,8419.46,4720251
2021-03-31,8479.34,8873.78,8203.57,8622.81,5721981
2021-04-30,8624.36,10134.68,8589.45,9782.42,5017537
2021-05-31,9796.17,10158.79,9314.8,10027.83,5659856
2021-06-30,10034.86,10597.14,9844.59,10232.21,4319003
2021-07-31,10211.1,10473.45,9505.99,9710.75,2977978
2021-08-31,9688.66,9842.06,9322.22,9567.32,2927822
2021-09-30,9550.33,10179.76,8805.12,8955.44,5406878
2021-10-31,8922.1,9879.61,8831.58,8831.58,6409107
2021-11-30,8875.59,10162.33,8875.59,10075.72,6205909
2021-12-31,10108.23,10635.15,9613.43,9822.11,4532862
2022-01-31,9818.65,10492.92,9399.9,9997.29,4083121
2022-02-28,9961.55,10477.88,8168.73,9343.15,2860252
2022-03-31,9311.66,11659.09,8997.42,11332.19,6312492
2022-04-30,11341.7,11797.84,10428.86,10621.27,3611150
2022-05-31,10634.22,12939.51,10225.98,12210.25,3486100
2022-06-30,12271.33,12371.05,10698.66,11171.69,3791961
2022-07-31,11152.9,11152.9,9973.93,11056.91,4139301
2022-08-31,11047.15,11247.71,8627.16,8771.34,4487339
2022-09-30,8734.37,9806.5,8426.37,8874.73,3191930
2022-10-31,8857.45,9327.62,8183.64,8966.61,3287506
2022-11-30,9021.8,10224.72,8848.27,10141.9,3434762
2022-12-31,10304.06,11093.73,9927.27,10887.39,3124952
2023-01-31,10860.76,12744.95,10849.1,12584.36,4435929
2023-02-28,12540.84,12602.63,11601.07,11899.66,3281516
2023-03-31,11958.5,12291.64,10905.23,12183.43,4355176
2023-04-30,12140.28,12222.89,10888.13,10888.13,3691546
2023-05-31,10982.26,11127.59,9391.74,9485.35,5785405
2023-06-30,9564.45,10890.53,9435.68,10777.16,6766874
2023-07-31,10739.79,10986.11,10440.77,10505.27,5480011
2023-08-31,10530.3,10546.9,9436.33,9648.36,3916389
2023-09-30,9705.99,10525.3,9245.46,10350.67,4989005
2023-10-31,10404.86,11036.96,9566.67,9594.78,4492105
2023-11-30,9599.91,9829.82,9156.22,9425.13,5869551
2023-12-31,9434.49,10552.36,9393.26,10434.67,4873812
2024-01-31,10471.37,10562.46,9509.15,10163.58,2806346
2024-02-29,10222.65,10427.88,9582.72,9784.97,3020039
