Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2017-01-31,2555.33,2766.44,2488.78,2680.31,197631861
2017-02-28,2703.42,2884.86,2628.22,2866.11,172116862
2017-03-31,2878.42,3040.21,2820.92,2876.2,222422266
2017-04-30,2864.81,2911.03,2777.94,2868.07,133571853
2017-05-31,2887.03,3037.76,2733.2,2762.75,175850058
2017-06-30,2804.39,3133.09,2774.98,3037.52,156554971
2017-07-31,3039.86,3354.12,2984.01,3341.39,126349027
2017-08-31,3340.03,3692.17,3273.29,3529.04,179592838
2017-09-30,3525.92,3585.24,3249.45,3361.72,135094665
2017-10-31,3378.69,3400.89,3142.42,3240.2,132949265
2017-11-30,3263.17,3263.17,2898.32,2961.37,120406551
2017-12-31,2959.75,3234.35,2915.07,2990.57,128424702
2018-01-31,3006.36,3217.64,2928.17,2932.59,149885061
2018-02-28,2950.43,2980.12,2554.21,2559.36,149222825
2018-03-31,2565.72,2673.55,2434.53,2457.61,193302319
2018-04-30,2467.74,2694.7,2428.2,2576.03,153345602
2018-05-31,2572.06,2660.25,2261.41,2446.67,336932189
2018-06-30,2414.93,2602.67,2296.62,2344.45,187755235
2018-07-31,2327.84,2456.64,2295.98,2421.92,117661026
2018-08-31,2427.26,2430.61,2172.05,2223.67,130344429
2018-09-30,2220.3,2263.54,2032.01,2208.13,242023570
2018-10-31,2205.52,2370.83,2186.57,2315.16,183686059
2018-11-30,2335.37,2722.05,2307.1,2661.37,203840192
2018-12-31,2678.45,2795.46,2356.91,2410.68,248303617
2019-01-31,2404.46,2750.3,2384.84,2740.69,172389648
2019-02-28,2740.85,2851.12,2660.64,2671.46,115268572
2019-03-31,2684.83,2706.19,2329,2335.91,158462289
2019-04-30,2351.75,2383.93,2162.71,2174.6,162669340
2019-05-31,2189.28,2204.31,2022.26,2144.19,191993741
2019-06-30,2153.5,2322.58,2020.88,2239.32,199509772
2019-07-31,2274.71,2368.66,2077.41,2087.68,200102729
2019-08-31,2081.16,2149.63,1827.36,1917.64,138827289
2019-09-30,1922.91,2106.35,1895.67,1946.72,120440621
2019-10-31,1948.08,2058.68,1889.69,1973.8,114813137
2019-11-30,1984.81,2272.04,1984.81,2103.68,153089576
2019-12-31,2114.83,2143.21,1919.67,1961.62,137890384
2020-01-31,1972.24,2021.14,1782.17,1782.58,107634726
2020-02-29,1793.56,1799.38,1344.72,1346.5,174042614
2020-03-31,1382.04,1463.91,936.1,1219.86,399245701
2020-04-30,1210.05,1430.61,1205.59,1343.98,288364588
2020-05-31,1333.32,1469.39,1272.3,1469.39,175598184
2020-06-30,1477.05,2273.6,1477.05,1958.16,660798674
2020-07-31,1970.49,2400.03,1935.1,1990.75,278336949
2020-08-31,2010.34,2088.11,1889.63,1902.94,112089783
2020-09-30,1894.2,1912.02,1571.75,1857.9,202471385
2020-10-31,1869.67,1989.48,1417.94,1460.87,146111466
2020-11-30,1486.9,1887.69,1467.69,1749.68,147884273
2020-12-31,1759.24,2068.81,1710.61,2040.76,203110859
2021-01-31,2060.1,2325.1,2060.1,2085.8,192623499
2021-02-28,2099.97,2211.17,2007.16,2073.66,130456844
2021-03-31,2094.82,2182.72,1998.88,2149.61,188936693
2021-04-30,2155.35,2883.56,2155.04,2842.46,255496842
2021-05-31,2850.05,2890.99,2619.15,2812.24,157267877
2021-06-30,2816.13,3069.12,2692.65,2694.54,122115684
2021-07-31,2695.66,2733.98,2458.03,2574.89,97377253
2021-08-31,2580.4,2918.04,2576.95,2913.77,90567870
2021-09-30,2913.13,3028.37,2656.2,2702,122909856
2021-10-31,2681.35,3074.23,2677.25,2859.47,115276974
2021-11-30,2883.21,3038.87,2357.05,2496.54,127969194
2021-12-31,2526.16,2600.87,2275.08,2415.19,166241946
2022-01-31,2432.2,2548.21,2230.87,2244.06,175375241
2022-02-28,2260.39,2412.7,1924.62,2378.94,179174499
2022-03-31,2394.83,2794.69,2359.47,2647.54,277113848
2022-04-30,2664.68,2891.61,2555.24,2850.36,144644446
2022-05-31,2848.35,2996.47,2553.96,2868.52,153478958
2022-06-30,2865.12,3155.44,2828.36,3045.44,111822571.2381
2022-07-31,3050.56,3168.59,2812.12,3089.89,108572268
2022-08-31,3088.96,3088.96,2286.34,2321.01,102902420
2022-09-30,2299.66,2437.21,1997.52,2026.13,132727718
2022-10-31,2033.57,2136.88,1662.74,1881.09,144031764
2022-11-30,1908.97,2121.78,1894.14,2040.84,267301420
2022-12-31,2058.61,2172.75,2016.46,2108.92,157528262
2023-01-31,2114.42,2387.52,2071.28,2311.5,170983432
2023-02-28,2315.1,2315.97,2117.06,2144.92,101563925
2023-03-31,2158.45,2178.4,1938.37,2040.59,180196925
2023-04-30,2046.14,2229.67,2028.52,2193.35,108670780
2023-05-31,2192.57,2401.29,2138.28,2144.2,169698854
2023-06-30,2164.3,2391.17,2157.09,2328.51,142081644.29876
2023-07-31,2328.68,2799.37,2291.84,2781,190531216
2023-08-31,2781.85,3035.28,2749.03,2830.12,180229559
2023-09-30,2826.17,2851.15,2440.2,2503.18,147501138
2023-10-31,2494.81,2607.67,2215.18,2488.92,163489818
2023-11-30,2514.43,2818.71,2343.67,2775.61,161385789
2023-12-31,2786.59,2939.2,2779.28,2806.75,104095977
2024-01-31,2808.26,2830.16,2553.8,2760.43,76699935
2024-02-29,2764.46,2924.42,2600.88,2672.19,104910679
