Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2017-01-31,3521.23,4492,3451.32,4394.62,51155503
2017-02-28,4469.26,4853.6,4393.41,4603.45,38384130
2017-03-31,4685.31,4744.08,4141.63,4157.63,56201621
2017-04-30,4218.64,4678.55,4161.36,4518.19,28429612
2017-05-31,4563.24,4579.44,3887.4,3887.4,34084266
2017-06-30,3908.23,4198.47,3863.89,4106.07,21709137
2017-07-31,4114.04,4671.03,3991.05,4561.8,26100479
2017-08-31,4574.57,5015.51,4473.99,4922.77,29626680
2017-09-30,4926.59,5118.53,4435.07,4596.66,24507067
2017-10-31,4610.42,4914.66,4473.74,4762.85,20512338
2017-11-30,4786.06,4839.02,4171.82,4198.58,20000679
2017-12-31,4230.33,4445.96,3990.7,4394.93,20056134
2018-01-31,4394.83,4674.27,4294.02,4376.41,17478404
2018-02-28,4400.08,4488.35,4157.2,4159.99,19665988
2018-03-31,4164.28,4260.65,3360.29,3509.02,32340710
2018-04-30,3529.06,3908.44,3461.21,3742.43,24531360
2018-05-31,3761.04,3908.76,3460.75,3489.4,21063399
2018-06-30,3517.1,3966.93,3414.31,3509.32,21173061
2018-07-31,3485.17,3835.96,3473.81,3797.33,17294143
2018-08-31,3780.95,3790.97,3364.49,3607.55,19780355
2018-09-30,3605.25,3706.19,3209.22,3439.57,29997278
2018-10-31,3455.26,3542.91,3201.4,3446.82,19248332
2018-11-30,3555.29,3739,3353.12,3439.68,21979971
2018-12-31,3541.84,3602.27,3329.5,3423.39,15713531
2019-01-31,3397.4,3616.7,3331.77,3597.74,21211009
2019-02-28,3598.38,3776.72,3481.89,3672.62,47726568
2019-03-31,3701.76,3885.36,3569.69,3864.41,30563142
2019-04-30,3906.73,4039.36,3674.82,3695.55,26191651
2019-05-31,3618.59,3657.67,3245.07,3370.82,23414474
2019-06-30,3356.2,3621.15,3288.15,3580.94,26257772
2019-07-31,3644.2,3673.86,3218.16,3235.03,23399584
2019-08-31,3220.69,3226.84,2497.06,2693.11,35658436
2019-09-30,2696.25,2861.25,2529.68,2647.44,36042687
2019-10-31,2607.26,2830.9,2437.19,2725.58,49546737
2019-11-30,2778.95,3122.34,2771.18,2926.52,47893848
2019-12-31,2930.44,3175.41,2816.61,3089.84,29023453
2020-01-31,3146.67,3273.98,2911.99,2921.58,55315315
2020-02-29,2945.64,3161.29,2201.34,2232.25,45297350
2020-03-31,2332.22,2493.18,1541.79,1913.06,71172407
2020-04-30,1884.46,2504.85,1835.37,2430.8,47181551
2020-05-31,2368.69,2796.46,2244.44,2728.2,46584925
2020-06-30,2795.51,2959.33,2676.15,2894,80855679
2020-07-31,2882.93,4119.98,2882.93,3880.41,70186070
2020-08-31,3909.79,4282.92,3879.77,4181.51,32228972
2020-09-30,4215.2,4351.57,3641.55,3746.5,77056273
2020-10-31,3771.89,4068.94,3515.21,3622.44,44063917
2020-11-30,3622.99,4901.26,3581.79,4626,52759199
2020-12-31,4665.12,5888.88,4658.57,5625.47,52779267
2021-01-31,5711.86,6744.61,5228.83,5853.11,106130246
2021-02-28,6107.64,6683.01,5631.05,5925.51,69360848
2021-03-31,6058.69,6218.31,5172.59,5886.6,46629314
2021-04-30,5878.17,6437.76,5768.08,6019.55,35568031
2021-05-31,6101.81,7089.98,5979.28,6306.67,40358533
2021-06-30,6322.69,6562.12,5534.46,5940.09,76231751
2021-07-31,5951.07,6308.13,5583.38,6130.87,48828492
2021-08-31,6166.12,6275.18,5375.82,5719.94,39508813
2021-09-30,5680.98,5977.4,5150.37,5336.43,75057436
2021-10-31,5277.45,5882.37,5115.9,5161.27,98233660
2021-11-30,5071.99,5298.28,4342.99,4666.06,62281682
2021-12-31,4753.02,4893.44,4389.97,4539.55,56381671
2022-01-31,4587.12,5147.81,4365.55,4592.58,60485679
2022-02-28,4661.18,5465.17,4577.17,5465.17,72385567
2022-03-31,5517.14,6744.55,5375.11,6052.12,119035151
2022-04-30,6024.53,6162.42,4907.62,5116.83,44984469
2022-05-31,5019.19,5210.58,4107.28,5122.36,42485129
2022-06-30,5106.51,5301.37,4119.43,4330.91,44834460.862382
2022-07-31,4249.62,4301.08,3574.38,4175.86,53164340
2022-08-31,4155.87,4194.82,3325.66,3325.66,43729918
2022-09-30,3260.6,3500.04,2884.27,3097.61,99210590
2022-10-31,3054.91,3469.78,3054.1,3433.54,46718637
2022-11-30,3493.12,4534.26,3419.56,4284.21,90633025
2022-12-31,4389.65,4672.15,4260.73,4612.64,63550382
2023-01-31,4644.48,5481.22,4628.46,5152.52,82519055
2023-02-28,5164.17,5196.7,4448.06,4590.78,43639938
2023-03-31,4683.13,4817.36,3930.22,4324.16,84579966
2023-04-30,4312.6,4544.91,4102.78,4191.85,44944503
2023-05-31,4168.78,4321.78,3703.41,3703.41,43335171
2023-06-30,3784.83,4343.94,3759.11,3976.05,59483645
2023-07-31,4005.53,4397.71,3848.12,4360.54,60389795.877601
2023-08-31,4344.53,4394.53,3702.72,3993.01,35259734
2023-09-30,4018.48,4185.82,3808.12,4020.71,42105457
2023-10-31,4008.62,4137.21,3749.5,4102.74,40011784
2023-11-30,4162.5,4333.78,3867.12,4056.29,44960218
2023-12-31,4070.07,4499.1,4066.45,4315.32,37188953
2024-01-31,4343.82,4348.22,3748.91,4028.48,38039995
2024-02-29,3982.77,4074.26,3857.37,3862.97,33687408
