Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2017-01-31,2158.1,2278.96,2158.1,2278.96,16530313
2017-02-28,2281.14,2343.88,2242.7,2321.99,26945454
2017-03-31,2335.29,2398.3,2291.21,2359.4,20406110
2017-04-30,2364.58,2380.65,2312.5,2372.02,10425822
2017-05-31,2388.66,2449.74,2284.17,2284.17,11119247
2017-06-30,2316.79,2369.52,2226.3,2287.84,14743918
2017-07-31,2287.31,2291.66,2123.03,2148.84,17151444
2017-08-31,2153.4,2155.24,2069.43,2110.98,18920323
2017-09-30,2091.76,2179.3,2069.94,2095.18,29409834
2017-10-31,2108.85,2115.87,2041.72,2105.09,23697507
2017-11-30,2098.06,2099.21,1918.47,2010.24,13105877
2017-12-31,2006.98,2051.2,1946.99,2041.8,12918646
2018-01-31,2055.43,2198.46,2000.94,2115.13,12460321
2018-02-28,2117.87,2129.34,1970.32,2098.81,7148955
2018-03-31,2091.4,2112.81,1971.37,1971.63,8639773
2018-04-30,1987.98,2039.47,1956.53,1986.1,5870111
2018-05-31,1985.47,2077.05,1918.28,2064.78,5592354
2018-06-30,2043.9,2058.2,1833.55,1894.21,10490086
2018-07-31,1909.36,2092.38,1901.04,2089.73,18920715
2018-08-31,2090.96,2124.59,1972.13,2044.36,14096983
2018-09-30,2057.25,2080.95,1912.11,2033.55,13049811
2018-10-31,2036.6,2075.5,1961.49,2069.17,13853367
2018-11-30,2066.45,2109.53,1971.69,2046.07,5172335
2018-12-31,2074.11,2101.41,1964.81,1991.93,3921545
2019-01-31,1993.75,2114.62,1976.68,2087.51,4894293
2019-02-28,2099.65,2290.96,2076.43,2210.06,4975802
2019-03-31,2215.97,2316.74,2178.54,2243.23,6029230
2019-04-30,2241.01,2371.81,2227.78,2302.81,3594742
2019-05-31,2294.28,2363.55,2222.03,2329.38,3180227
2019-06-30,2318.84,2449.86,2311.86,2396.24,3407589
2019-07-31,2424.56,2535,2399.88,2451.38,5899497
2019-08-31,2454.88,2524.03,2402.34,2501.9,5718228
2019-09-30,2504.07,2546.48,2362.48,2387.55,3887633
2019-10-31,2373.44,2473.41,2349.5,2411.29,4649845
2019-11-30,2430.18,2632.5,2411.64,2619.12,3371440
2019-12-31,2616.7,2923.59,2599.6,2834.29,5006894
2020-01-31,2828.8,2977.44,2796.98,2932.27,5832885
2020-02-29,2920.51,3122.03,2822.17,2834.08,6146395
2020-03-31,2761.47,2959.1,2385.74,2663.12,10356734
2020-04-30,2660.82,3220.96,2627.51,3150,7906499
2020-05-31,3145.48,3409.01,3056.75,3388.88,7257658
2020-06-30,3422.31,3548.07,3297.18,3419.23,7679355
2020-07-31,3466.08,3832.86,3455.73,3681.42,7463301
2020-08-31,3688.06,4101.69,3677.96,3927.18,5412879
2020-09-30,3932.49,4045.52,3724.91,3837.18,5791142
2020-10-31,3873.2,3905.76,3501.31,3548.55,6418378
2020-11-30,3576.99,3779.73,3556.96,3676.11,5835494
2020-12-31,3677,3883.48,3677,3863.01,8329680
2021-01-31,3877.1,3925.66,3782.37,3882.57,5830666
2021-02-28,3890.41,4090.72,3847.34,3924.59,6119803
2021-03-31,3922.65,4090.48,3891.35,4060.18,9488981
2021-04-30,4065.99,4219.74,4057.83,4128.73,9280937
2021-05-31,4133.86,4196.89,3986.48,4145.62,9830886
2021-06-30,4159.15,4551.24,4135.6,4509.26,6485400
2021-07-31,4469.44,4627.78,4457.95,4596.92,4446930
2021-08-31,4606.52,4660,4521.63,4632.71,5266828
2021-09-30,4647.9,4770.54,4551.72,4656.34,5838105
2021-10-31,4635.86,5184.72,4614.08,5083.53,6908375
2021-11-30,5099.92,5138.34,4697.59,4759.27,6085963
2021-12-31,4781.51,4827.83,4603.75,4706.08,5968616
2022-01-31,4781.55,4830.35,4304.68,4372.03,5665980
2022-02-28,4394.33,4446.69,3775.95,4036.94,6173096
2022-03-31,4060.67,4463.74,3823.3,4410.16,7907742
2022-04-30,4410.5,4488.99,4017.93,4135.23,4817233
2022-05-31,4130.18,4177.74,3897.07,4026.02,5934602
2022-06-30,4039.68,4086.71,3721.11,4029.15,4789240.945946
2022-07-31,4031.2,4112.59,3942.6,4072.61,4553159
2022-08-31,4089.88,4355.36,4001.8,4041.08,3876622
2022-09-30,4026.85,4215.37,3856.99,3882.32,4101906
2022-10-31,3883.38,3997.12,3660.03,3835.41,2922377
2022-11-30,3852.67,4041.17,3814.61,4018.57,3857032
2022-12-31,4055.51,4167.61,3932.51,3974.54,4350477.7435897
2023-01-31,3981.72,4277.3,3981.72,4219.27,5479522
2023-02-28,4230.07,4579.37,4207.58,4471.7,5594985
2023-03-31,4490.13,4574.93,4260.46,4378.19,5351808
2023-04-30,4390.94,4698.62,4335.57,4651.89,4939561
2023-05-31,4671.86,4854.39,4512.13,4531.09,6613046
2023-06-30,4579.67,4678.48,4407.53,4573.17,6756733.7789669
2023-07-31,4568.87,4848.13,4527.77,4803.16,4590295
2023-08-31,4815.77,4866.59,4451.75,4475.7,5453465.0218628
2023-09-30,4506.32,4623.77,4389.85,4473,6512632
2023-10-31,4479.55,4544.01,4298.39,4458.71,5590395
2023-11-30,4472.73,4675.49,4463.74,4506.63,7475750
2023-12-31,4536.78,4715.3,4492.56,4616.29,6865367
2024-01-31,4667.87,4697.72,4473.88,4609.63,7102129
2024-02-29,4608.72,4776.4,4550.55,4732.6,6855152
