Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2017-01-31,4559.67,4918.88,4514.05,4857.26,2811595
2017-02-28,4857.56,5113.42,4835.73,5113.42,3765455
2017-03-31,5162.54,5380.52,4976.82,5167.54,4021707
2017-04-30,5139.85,5179.29,4958.56,5176.43,2377165
2017-05-31,5178.83,5290.19,4802.32,5290.19,3697807
2017-06-30,5246.95,5256.95,5065.65,5126.77,8915891
2017-07-31,5164.01,5252.47,5036.23,5233.79,6184843
2017-08-31,5183.85,5284.67,5038.79,5171.14,4498973
2017-09-30,5139.62,5143.91,4769.14,4887.6,3976889
2017-10-31,4924.75,4924.75,4557.18,4675.89,3787040
2017-11-30,4647.16,4746.9,4521.24,4746.9,3678627
2017-12-31,4727.39,4886.8,4577.92,4791.34,4676173
2018-01-31,4804.58,5017.74,4655.16,5001.96,14875618
2018-02-28,5036.22,5135.22,4840.31,4917.78,5841903
2018-03-31,4928.05,5127.39,4866.88,5031.1,5326943
2018-04-30,5039.14,5273.25,4852.5,5111.79,3272307
2018-05-31,5165.85,5261.8,5027.07,5183.37,3417425
2018-06-30,5215.13,5245.65,4722.05,4845.23,2937238
2018-07-31,4835.46,4996.49,4568.08,4745.17,4510942
2018-08-31,4726.89,5142.11,4616.35,5073.44,2336743
2018-09-30,5098.52,5099.01,4340.9,4524.72,2177739
2018-10-31,4525.47,4681.44,4426.06,4587.9,1179514
2018-11-30,4582.15,4682.97,4314.33,4531.49,1644916
2018-12-31,4609.5,4725.61,4459.64,4513.06,2767571
2019-01-31,4542.91,4850.52,4420.49,4850.52,2209042
2019-02-28,4856.96,5068.33,4780.21,4829.47,3839465
2019-03-31,4804.16,5048.72,4746.6,4953.9,3866524
2019-04-30,5004.21,5191.72,4917.32,5105.05,3197166
2019-05-31,5058.59,5108.05,4692.18,4936.08,3026763
2019-06-30,4938.62,5322.59,4895.26,5312.94,2885765
2019-07-31,5363.98,5433.22,5069.72,5239.35,3211959
2019-08-31,5266.42,5296.66,4959.96,5061.23,1538699
2019-09-30,5083.51,5205.8,4934.24,5205.8,1472122
2019-10-31,5314.96,5316.86,4871.03,5025.83,1824067
2019-11-30,5028.18,5318.89,5008.98,5286.33,2218669
2019-12-31,5323.07,5402.62,5095.63,5375.11,1611518
2020-01-31,5404.53,6236.71,5382.94,6135.23,3194231
2020-02-29,6116.95,6598.14,5467.05,5728.44,3994119
2020-03-31,5717.13,6139.85,3594.1,4131.82,3503673
2020-04-30,4105.5,5131.17,4050.33,4822.3,2853551
2020-05-31,4876.6,5335.31,4568.23,5221.29,5487054
2020-06-30,5227.08,5536.25,4986.95,5042.77,6302347
2020-07-31,5065.72,5430.17,4933.78,5085.53,5241933
2020-08-31,5084.33,5381.11,4970.02,5173.38,3451607
2020-09-30,5166.17,5225.08,4577.6,4992.09,6076707
2020-10-31,4995.8,4998.27,4597.75,4694.96,5465749
2020-11-30,4735.08,5605.94,4644.59,5440.42,2562853
2020-12-31,5478.45,6063.33,5296.94,6042.75,5971511
2021-01-31,6056.93,6090.1,5715.17,5876.34,7988740
2021-02-28,5945.22,6430.53,5761.99,6284.38,4703592
2021-03-31,6147.05,6546.44,6004.98,6401.04,5131272
2021-04-30,6393.3,6795.86,6299.62,6705.68,7820313
2021-05-31,6765.33,7955.61,6597.67,7613.38,12433213
2021-06-30,7662.76,7993.99,7198.67,7770.02,5865792
2021-07-31,7752.15,8272.12,7622.59,8059.33,5563153
2021-08-31,8033.98,9028.83,7754.85,8803.33,6622147
2021-09-30,8843.1,8969.3,8222.67,8524.46,5992409
2021-10-31,8482.79,9389.6,8340.12,9046.09,3794487
2021-11-30,9043.81,9691.59,8185.97,8918.85,5338184
2021-12-31,8915.53,9120.13,7979.08,8762.86,3926208
2022-01-31,8764.84,9009.69,8049.66,8367.36,3195487
2022-02-28,8381.36,8411.92,6878.47,7547.61,2615571
2022-03-31,7547.11,7635.85,6655.54,7400.91,3150470
2022-04-30,7441.67,7807.69,6589.45,6626.83,2188494
2022-05-31,6666.34,6986.74,6109.95,6387.9,1944819
2022-06-30,6477.32,6590.74,5562.47,6584.57,2033797.828125
2022-07-31,6489.27,6741.79,6023.39,6375.08,1558397
2022-08-31,6449.28,7171.74,5882.32,6142.67,2575971
2022-09-30,6095.28,6240.33,5328.83,5487.19,1674383
2022-10-31,5311.32,5912.04,5297.66,5832.13,1711418
2022-11-30,5786.21,6422.92,5786.21,6011.72,2934386
2022-12-31,6069.04,6139.03,5668.27,6032.39,2843791
2023-01-31,6105.51,6726.92,5941.18,6561.4,3398665
2023-02-28,6562.03,6946.57,6283.39,6377.59,2808689
2023-03-31,6433.58,7021.47,6371.32,6767.44,3507706
2023-04-30,6699.86,7288.8,6585.86,7214.68,3290584
2023-05-31,7277.73,7824.15,6946.38,7580.83,3027299
2023-06-30,7619.11,7640.89,7177.49,7451.67,1977634.0017576
2023-07-31,7544,8233.47,7435.67,7724.15,2640253
2023-08-31,7766.07,7970.66,7254.62,7424.34,2756175
2023-09-30,7483.69,7771.9,6998.7,7053.8,3443656
2023-10-31,7064.67,7542.33,6845.13,7458.91,3397808
2023-11-30,7487.53,8286.33,7260.29,7626.35,3388377
2023-12-31,7612.2,8382.66,7577.27,8328.8,3148549
2024-01-31,8427.41,8434.19,7837.29,8267.02,3907196
2024-02-29,8299.04,8495.33,8047.92,8378.5,3455330
