Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2017-01-31,5185.17,5605.12,5080.07,5555.74,4490149
2017-02-28,5558.57,5714.08,5306.66,5677.46,5272852
2017-03-31,5635.21,5801.77,5383.01,5457.59,11744214
2017-04-30,5452.59,5603.02,5380.55,5549.33,4221099
2017-05-31,5584.06,5950.11,5491.98,5950.11,5860320
2017-06-30,5927.51,5937.91,5591.35,5764.16,6630045
2017-07-31,5731.13,5734.12,5335.58,5444.84,2454198
2017-08-31,5450.57,5484.94,5163.57,5346.26,3117138
2017-09-30,5321.43,5479.96,5228.63,5383.59,2523603
2017-10-31,5362.76,5438.64,5041.87,5221.31,3798572
2017-11-30,5219.25,5219.25,4750.92,4833.9,3643384
2017-12-31,4849.72,5187.92,4754.36,5174.38,3371809
2018-01-31,5177.89,5238.81,4859.16,4874.8,3267476
2018-02-28,4875.98,5014.09,4631.01,4631.01,2681361
2018-03-31,4632.78,4731.56,4461.96,4500.85,2217127
2018-04-30,4540.11,4610.26,4190.91,4280.52,3340075
2018-05-31,4280.44,4401.26,3969.2,4280.83,4102670
2018-06-30,4350.37,4697.51,4304.14,4332.54,3637018
2018-07-31,4346.15,4610.98,4211.59,4596.02,2665436
2018-08-31,4578.63,4666.64,4349.78,4539,29327928
2018-09-30,4546.17,4548.23,4014.31,4100.79,16975013
2018-10-31,4099.7,4334.56,3876.05,3876.05,10675271
2018-11-30,3907.59,3985.1,3355.66,3640.86,8392693
2018-12-31,3661.24,3824.44,3510.28,3540.98,10039506
2019-01-31,3560.96,3739.56,3501.94,3674.35,10907130
2019-02-28,3658.73,3821.85,3623.73,3779.38,17524186
2019-03-31,3814.43,3958.72,3696.6,3720.99,15538956
2019-04-30,3790.92,3909.41,3723.09,3843.43,6887107
2019-05-31,3850.58,3850.84,3518.44,3646.39,8971252
2019-06-30,3659.18,3729.34,3521.7,3695.27,4909683
2019-07-31,3709.04,3745.99,3561.29,3593.53,4478578
2019-08-31,3595.92,3642.45,3458.25,3497.54,3745740
2019-09-30,3500.66,3648.23,3432.54,3458.26,6110014
2019-10-31,3531.35,3534.49,3290.34,3338.96,2952171
2019-11-30,3337.21,3371.57,3194.06,3311.69,4574891
2019-12-31,3299.43,3521.67,3264.42,3521.67,4380119
2020-01-31,3528.86,3904.55,3467.33,3885.83,11973330
2020-02-29,3885.69,3991.18,3118.84,3221.84,8902819
2020-03-31,3181.32,3611.9,2252.06,2471.24,7743858
2020-04-30,2520.16,3112.41,2451.39,3069.58,6672439
2020-05-31,3055.23,3139.97,2906.32,2975.75,6668210
2020-06-30,3038.24,3505.07,3003.6,3388.79,4373605
2020-07-31,3400.04,3596.28,3258.86,3314.57,8863089
2020-08-31,3355.04,3910.76,3355.04,3773.31,8244200
2020-09-30,3941.09,4213.27,3656.97,3765.1,4579685
2020-10-31,3741.68,3895.32,3277.92,3320.19,5696227
2020-11-30,3298.71,4053.15,3298.71,3918.26,28574696
2020-12-31,3928.09,4086.13,3769.61,3981.19,73469951
2021-01-31,4024.39,4667.78,4010.43,4636.19,13590541
2021-02-28,4643.58,5094.23,4556.3,4696.09,15630163
2021-03-31,4719.95,5298.1,4717.32,5168.69,16985956
2021-04-30,5209.56,5310.39,4921.53,5045.31,19050461
2021-05-31,5003.25,5991.6,4875.16,5934.33,13328179
2021-06-30,6028.25,6162.18,5594.18,5851.97,10288943
2021-07-31,5933.61,6558.53,5805.66,6312.3,6650689
2021-08-31,6463.89,6546.1,6119.66,6341.8,9623737
2021-09-30,6295.31,6774.64,6191.47,6686.28,10785650
2021-10-31,6666.61,6800.97,6518.87,6578.76,17585270
2021-11-30,6603.02,6661.4,5936.8,6249.28,10250817
2021-12-31,6196.67,6845.02,6062.94,6728.61,7100457
2022-01-31,6728.9,6874.27,6293.32,6646.59,5418359
2022-02-28,6646.59,7016.27,5672.58,6024.53,7294575
2022-03-31,5944.34,6537.85,5615.71,6439.24,6315221
2022-04-30,6437.92,6479.5,5788.08,5971.32,6605363
2022-05-31,5987.75,6124.69,5517.26,5961.59,9527718
2022-06-30,5962.66,6010.63,5477.31,5854.32,4405494.0804912
2022-07-31,5858.96,5917.34,5339.45,5801.67,3606808
2022-08-31,5796.8,5921.47,5116.04,5137.76,9911040
2022-09-30,5145,5716.33,5013.5,5103.7,5781479
2022-10-31,5065.6,5552.57,4977.78,5292.65,3108485
2022-11-30,5303.33,6597.1,5303.33,6450.24,4938296
2022-12-31,6454.98,6589.96,6141.09,6485.02,2803996
2023-01-31,6559.53,6834.21,6246.82,6671.98,2936589
2023-02-28,6684.32,7271.39,6612.98,7110.88,3617013
2023-03-31,7106.07,8371.68,7106.07,8101.66,4134285
2023-04-30,8105.89,8295.86,7471.08,7592.88,3530321
2023-05-31,7541.32,8119.24,7358.24,7626.18,3202864
2023-06-30,7655.49,8305.68,7482.73,8304.87,2771959
2023-07-31,8297.53,9301.36,8277.9,9290.25,4731197.884058
2023-08-31,9285.01,9288.93,8094.36,8392.7,1798826
2023-09-30,8407.7,8715.03,8211,8637.72,2295306
2023-10-31,8647.23,9060.62,8197.8,8712.01,1735411
2023-11-30,8713.52,9272.82,8490.41,8969.71,1563464
2023-12-31,8984.17,9670.02,8867.87,9254.33,2209025
2024-01-31,9342.01,9373.52,8222.8,8607.39,1810023
2024-02-29,8603.49,9408.76,8500.86,9015.33,3676026
