Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2017-01-31,1834.65,1923.6,1826.87,1898.52,33830762
2017-02-28,1905.01,1954.21,1886.52,1920.81,75771353
2017-03-31,1929.68,1983.86,1907.74,1933.4,241128002
2017-04-30,1934.2,2034.91,1929.77,2013.24,60368100
2017-05-31,2028.87,2067.24,1993.19,2047.89,51509534
2017-06-30,2042.33,2144.37,2040.65,2130.39,44232102
2017-07-31,2132.83,2134.65,2075.77,2098.95,19227915
2017-08-31,2102.74,2148.81,2050.06,2148.81,20647313
2017-09-30,2151.85,2195.78,2137.3,2163.1,60085912
2017-10-31,2162.88,2187.79,2067.78,2110.83,51055532
2017-11-30,2120.5,2120.5,2029.42,2066.6,27925128
2017-12-31,2092.47,2219.54,2087.74,2198.05,44853237
2018-01-31,2193.95,2302.26,2189.66,2295.07,40161281
2018-02-28,2300.64,2300.64,2181.12,2196.27,26957034
2018-03-31,2188.08,2244.9,2164.93,2202.41,15887999
2018-04-30,2187.94,2239.47,2181.96,2211.94,17420439
2018-05-31,2224.15,2224.38,2093.04,2147.27,32126588
2018-06-30,2156.82,2204.16,2069.31,2088.32,42159669
2018-07-31,2100.07,2146.49,2060.4,2141.02,17451939
2018-08-31,2139.96,2139.96,2042.42,2091.8,26921400
2018-09-30,2095.12,2098.7,1965.98,2033.93,54364307
2018-10-31,2041.21,2069.36,1919.25,1966.31,29759462
2018-11-30,2034.07,2051.99,1969.14,2022.34,22819367
2018-12-31,2017.45,2053.59,1900.03,1911.66,18539282
2019-01-31,1919.36,2093.02,1893.67,2081.82,12228592
2019-02-28,2094.97,2151.05,2076.24,2132.24,48378807
2019-03-31,2138.97,2233.14,2125.45,2213.04,16687753
2019-04-30,2210.3,2273.27,2146.16,2155.26,8838335
2019-05-31,2148.17,2160.06,2070.79,2104.49,9050939
2019-06-30,2098.68,2250.82,2094.1,2245.46,12317113
2019-07-31,2246.9,2348.56,2223.32,2335.41,20041837
2019-08-31,2350.8,2351.75,2221.15,2277.83,17420091
2019-09-30,2281.1,2350.81,2247.44,2300.65,16621108
2019-10-31,2296.97,2365.6,2262.56,2342.93,14658094
2019-11-30,2346.25,2426.48,2327.04,2413.35,13073630
2019-12-31,2414.57,2488.69,2374.35,2460.44,25922732
2020-01-31,2479.54,2589.96,2468.42,2549.6,24796349
2020-02-29,2546.32,2637.14,2326.39,2396.83,16769384
2020-03-31,2380.84,2535.92,1847.96,1886.6,32197716
2020-04-30,1882.05,2143.05,1802.87,2121.66,16402029
2020-05-31,2109.1,2109.26,1961.16,2046.66,17606733
2020-06-30,2073.93,2325.03,2069.71,2119.03,29970077
2020-07-31,2141.45,2241.09,2060.84,2135.52,17260979
2020-08-31,2146.41,2232.21,2108.57,2232.21,13055953
2020-09-30,2246.02,2247.98,2080.75,2148.94,20809762
2020-10-31,2163.23,2222.32,1957.04,1982.1,17240148
2020-11-30,1996.06,2251.95,1995.58,2237.15,12929594
2020-12-31,2233.62,2394.84,2217.5,2385.9,20683836
2021-01-31,2404.29,2535.17,2380.86,2462.23,20026985
2021-02-28,2466.09,2623.65,2466.09,2617.22,39624879
2021-03-31,2635.09,2692.27,2516.88,2607.18,23517387
2021-04-30,2612.58,2866.82,2599.96,2857.28,14336375
2021-05-31,2875.66,3000.45,2780.33,2999.36,18185107
2021-06-30,2997.46,3074.95,2919.09,3014.43,17800012
2021-07-31,3011.23,3127.11,2991.32,3077.25,16088323
2021-08-31,3098.39,3138.43,3017.37,3138.43,8090627
2021-09-30,3132.64,3214.36,3085.99,3165.54,21638876
2021-10-31,3157.04,3233.34,3092.34,3092.34,25738627
2021-11-30,3125.3,3132.5,2720.93,2849.76,13121938
2021-12-31,2846.61,2863.63,2665.92,2841.12,14375685
2022-01-31,2840.86,3023.88,2839.47,2882.15,15403449
2022-02-28,2891.94,3006.38,2460.25,2646.98,12560448
2022-03-31,2639,2763.7,2504.25,2708.99,15795130
2022-04-30,2738.9,2787.39,2628.6,2701.4,8153899
2022-05-31,2696.74,2731.16,2503.07,2593.18,8066119
2022-06-30,2611.55,2633.11,2411.69,2549.24,10430793
2022-07-31,2572.27,2606.61,2428.17,2490.68,5537164
2022-08-31,2530.77,2676.15,2496.78,2505.04,5604725
2022-09-30,2495.25,2633.31,2331.94,2358.33,9024961.1125402
2022-10-31,2365.27,2463.85,2310.06,2392.36,5543979
2022-11-30,2401.18,2519.34,2367.18,2511.56,10387557
2022-12-31,2532.71,2663.92,2498.05,2624.35,9776705
2023-01-31,2659.85,2762.47,2628.6,2726.64,12726717
2023-02-28,2742.1,2870.05,2730.74,2803.07,9778130
2023-03-31,2796.2,3046.84,2790.54,2995.23,16618617
2023-04-30,3006.71,3254.18,2982.31,3181.38,8817183
2023-05-31,3219.28,3342.66,3168.42,3271,9571746
2023-06-30,3279.4,3461.44,3212.45,3461.44,10989881
2023-07-31,3461.12,3913.82,3461.12,3873.11,12608744
2023-08-31,3873.26,3886.25,3733.61,3780.16,9080678
2023-09-30,3797.08,4055.14,3626.96,3761.45,8711640.4649122
2023-10-31,3788.91,3950.32,3724.16,3803.25,13699474
2023-11-30,3811.43,3905.65,3666.61,3747.62,18759260
2023-12-31,3752.46,3813.59,3525.87,3545.06,14883789
2024-01-31,3544.06,3872.6,3486.26,3853.23,37601999
2024-02-29,3855.01,3949.33,3781.04,3821.07,30234072
