Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2017-01-31,5140.34,5298.33,4920.41,4931,35364126
2017-02-28,4942.77,5432.92,4865.57,5372.66,27776041
2017-03-31,5377.37,6175.36,5365.06,6020.58,43861280
2017-04-30,6059.61,6143.61,5619.79,5950.56,22234438
2017-05-31,5860.13,5921.06,5365.48,5494.4,24096011
2017-06-30,5516.55,6171.1,5471.9,6053.31,11449318
2017-07-31,6074.5,6200.41,5890.11,6146.84,10574519
2017-08-31,6202.78,7172.54,6112.32,7154.47,18085539
2017-09-30,7230.4,7600.22,7069.98,7069.98,17194682
2017-10-31,7238.31,7564.81,6662.81,7188.97,15861898
2017-11-30,7247.73,7269.71,6637.52,6687.73,34114472
2017-12-31,6721.09,7571.75,6708.28,7506.99,24125586
2018-01-31,7632.11,8313,7460.48,7970.76,30184564
2018-02-28,7982.73,8077.98,7233.45,7248.79,27016261
2018-03-31,7176.75,7653.78,6864.38,6886.73,18600665
2018-04-30,6905.02,7657.12,6804.93,7347.37,16084394
2018-05-31,7423.7,7892.16,7279.46,7600.27,21199447
2018-06-30,7528.55,7556.65,6485.32,6485.32,10971645
2018-07-31,6383.37,7010.45,6352.38,6880.7,9970652
2018-08-31,6853.87,7213.59,6519.14,6917.26,11515056
2018-09-30,6972.45,7120.05,6590.22,6681.34,48548515
2018-10-31,6729.73,6833.53,5654.12,5751.79,26065952
2018-11-30,5817.78,6310.57,5657.39,6173.28,37923462
2018-12-31,6237.6,6356.73,5860.44,6021.68,33676046
2019-01-31,5985.39,6371.22,5781.37,6131.01,16328667
2019-02-28,6106.94,6256.51,5690.55,6080.03,10365096
2019-03-31,6089.06,6601.77,6003.97,6513.37,19615568
2019-04-30,6562.67,7267.29,6461.89,6525.29,10650484
2019-05-31,6537.59,6537.64,5173.04,5415.96,11377416
2019-06-30,5435.85,5769.4,5192.96,5716.38,7289152
2019-07-31,5814.68,5874.1,5533.25,5646.17,13017752
2019-08-31,5613.13,5644.62,4935.51,5170.49,9264565
2019-09-30,5199.53,5899.8,5095.97,5870.39,15983166
2019-10-31,5894.11,5903.37,5344.56,5370.64,15245871
2019-11-30,5423.36,5715.57,5407.69,5626.98,10180085
2019-12-31,5549.62,5720.08,5436.86,5665.06,6784156
2020-01-31,5627.82,5793.37,5119.93,5350.93,14139647
2020-02-29,5354.34,5526.82,4175.09,4304.09,14375604
2020-03-31,4398.2,4696.25,2352.55,2975.82,59615205
2020-04-30,2928.5,4231.53,2650.25,3891.11,97785609
2020-05-31,3781.39,4055.07,3473.9,4001.08,64145454
2020-06-30,4002.57,4780.33,3708.25,3719.69,62381363
2020-07-31,3751.17,4259.06,3720.4,4103.36,75502538
2020-08-31,4137,4412.76,4051.37,4243.86,39347943
2020-09-30,4247.78,4285.19,3763.41,3830.05,37633291
2020-10-31,3858.73,4158.03,3049.71,3091.78,48640070
2020-11-30,3135.22,4449.33,3047.34,4165.16,32336657
2020-12-31,4208.1,5197.24,4083.98,5158.73,36254897
2021-01-31,5260.31,5271.79,4668.33,4824.44,23228166
2021-02-28,4809.09,5494.97,4806.92,5068.04,21070776
2021-03-31,5143.53,5551.21,4926.73,5147.22,31390178
2021-04-30,5170.8,6152.82,5127.55,6085.33,19102413
2021-05-31,6118.66,7211.61,5823.43,6975.16,16060863
2021-06-30,6971.79,7831.69,6637.44,7539.69,11211846
2021-07-31,7618.97,8419.13,7498.19,8274.01,12682419
2021-08-31,8307.89,8715.65,7865.59,8329.25,10640590
2021-09-30,8283.71,9046.79,8112.76,8697.2,17530657
2021-10-31,8590.12,8752.8,7384.84,8503.03,12122174
2021-11-30,8455.62,8679.65,6929.71,7812.73,12167364
2021-12-31,7848.89,9949.42,7662.42,9479.24,10978560
2022-01-31,9504.07,10229.01,8221.85,8489.26,13314799
2022-02-28,8511.96,8554.24,4907.57,5025.77,48895578
2022-03-31,5079.2,6929.95,4450.22,6353.77,168154914
2022-04-30,6378.38,6511.24,5278.68,5349.92,32498958
2022-05-31,5372,5996.91,4743.02,5897.59,33158391
2022-06-30,5916.14,6083.34,4997.57,5214.1,19211899
2022-07-31,5182.91,5916.29,5113.15,5594.78,26491588
2022-08-31,5573.02,5623.29,4645.87,4826.04,25958217.118644
2022-09-30,4820.39,4985.42,4380.97,4495.73,28083326
2022-10-31,4584.99,4991.99,4235.08,4722,20165489
2022-11-30,4736.77,5527.67,4577.65,5313.39,23246896
2022-12-31,5402.14,5996.99,5245.21,5889.48,15742993
2023-01-31,5868.99,6802.67,5615.5,5684.09,25108302
2023-02-28,5659.58,5784.07,5187.45,5251.7,56863656
2023-03-31,5239.75,5502.57,5035.82,5399.38,47644807
2023-04-30,5376.78,6987.44,5280.24,6617.79,44756714
2023-05-31,6553.11,7389.29,6447.67,6599.82,30818764
2023-06-30,6732.61,7883.19,6516.16,7454.96,15442680.059324
2023-07-31,7455.07,8036.95,7025.37,7752.77,16035929
2023-08-31,7756.66,7760.94,6971.89,7631.73,16188653
2023-09-30,7555.52,7841.03,6966.24,7103.76,17038247
2023-10-31,7170.98,7411.28,6519.63,7331.8,17797486
2023-11-30,7400.1,8382.87,7267.84,8213.53,18831635
2023-12-31,8282.72,9400.06,8252.94,8962.9,19502029
2024-01-31,8977.51,9132.14,8143.96,8631.14,25179736
2024-02-29,8548.47,10542.66,8470.22,10058.9,37031551
