Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2017-01-31,5646.52,5880.45,5428.86,5436.53,123122238
2017-02-28,5487.91,6423.34,5447.1,6316.14,146217274
2017-03-31,6363.07,7027.25,6352.08,6561.69,161007275
2017-04-30,6669.52,7782.19,6669.52,7496.41,94762187
2017-05-31,7477.69,7714.92,6847.68,6931.67,122333255
2017-06-30,6996.86,7655.99,6816.57,7128.31,92244784
2017-07-31,7162.81,7511.87,7017.51,7126.08,75232356
2017-08-31,7140.7,7967.68,7044.5,7805.32,90202942
2017-09-30,7799.86,8278.66,7756.67,7996.11,84250838
2017-10-31,8038.36,8690.29,7918.92,8364.71,89261428
2017-11-30,8369.95,8485.85,7277.9,7281.19,92949230
2017-12-31,7348.24,7492.03,6770.09,7140.43,92415201
2018-01-31,7170.63,7683.26,7030.56,7341.31,121316885
2018-02-28,7365.46,7389.1,6406.01,6636.31,99290012
2018-03-31,6670.01,6714.73,5895.1,5946.63,120182945
2018-04-30,5971.2,6544.98,5954.11,6367.5,99285018
2018-05-31,6339.16,6398.85,5817.64,5863,86377514
2018-06-30,5888.43,6470.01,5788.2,6011.42,101087731
2018-07-31,5959.92,6712.5,5869.45,6589.34,88315687
2018-08-31,6606.47,7169.1,6474.4,6991.8,98234902
2018-09-30,7002.13,7502.33,6935.92,7362.82,137983049
2018-10-31,7404.95,7510.53,6412.45,6848.53,120740334
2018-11-30,6946.6,7974.04,6896.01,7892.22,96019699
2018-12-31,8031.81,8219.86,7599.33,7998.16,136250582
2019-01-31,7944.84,8539.44,7716.02,8129.74,127618155
2019-02-28,8137.88,8213.75,7765.81,7845.04,109864684
2019-03-31,7873.13,7895.34,7304.77,7312.79,123885241
2019-04-30,7359.81,7709.45,7210.41,7210.75,107809889
2019-05-31,7233.1,7253.67,6449.32,7167.07,131141446
2019-06-30,7126.24,7181.67,6599.54,6745.59,126924137
2019-07-31,6855.58,7533.14,6638.84,7384.22,172411694
2019-08-31,7351.2,7554.39,6527.26,6816.54,164587049
2019-09-30,6852.44,7393.87,6586.4,7260.24,146021694
2019-10-31,7273.09,7759.49,7103.54,7621.61,109289935
2019-11-30,7704.96,7991.13,6951.98,7010.64,115528732
2019-12-31,7060.43,7060.43,6056.72,6489.03,158605504
2020-01-31,6518.38,6655.01,5649.52,5710.73,153263714
2020-02-29,5704.41,5844.08,4250.66,4544.12,136996369
2020-03-31,4714.78,4803.05,3234.82,4347.45,312500250
2020-04-30,4252.42,5184.74,4214.16,4890.53,217692180
2020-05-31,4827.2,5333.75,4600.52,5190.57,166402794
2020-06-30,5258.26,5645.58,5032.48,5087.79,195429228
2020-07-31,5198.83,5376.5,4664.49,4697.1,183269718
2020-08-31,4708.24,4981.47,4454.69,4454.85,115581608
2020-09-30,4484.74,4509.87,3983.51,4134.41,152311243
2020-10-31,4174.57,4260.47,3360.84,3423.51,128938438
2020-11-30,3442.4,4684.07,3416.54,4531.46,192388860
2020-12-31,4637.38,5279.16,4554.64,4954.47,181432359
2021-01-31,5021.92,5449.13,4854.28,4874.09,257775243
2021-02-28,4905.58,5345.57,4898.57,5047.33,428839553
2021-03-31,5118.84,5845.35,5074.49,5407.72,248144609
2021-04-30,5421.05,5939.77,5420.35,5757.8,202525675
2021-05-31,5781.3,6600.67,5748.38,6545.68,167120745
2021-06-30,6542.32,6684.08,6310.73,6357.84,130354142
2021-07-31,6384.79,6490.13,5928.7,6301.08,130716959
2021-08-31,6350.6,6510.43,6173.76,6456.36,92794959
2021-09-30,6468.71,6902.42,6231.43,6902.42,134928451
2021-10-31,6839.44,7477.11,6796.13,7028.98,181642461
2021-11-30,7061.01,7395.68,5827.17,6053.53,135741355
2021-12-31,6163.91,6514.95,6032.65,6494.21,135798155
2022-01-31,6502.64,7038.26,5936.48,5984.92,135569642
2022-02-28,6024.89,6247.66,5290.7,6032.19,122865023
2022-03-31,6115.17,7026.23,6115.17,6552.21,275751429
2022-04-30,6586.26,7289.2,6499.36,6684.3,113717045
2022-05-31,6664.64,6732.68,6149.1,6527.75,146774368
2022-06-30,6525.13,6686.72,5889.73,6180.5,95363859
2022-07-31,6148.48,7219.91,5945.03,7213.67,135273768.42901
2022-08-31,7209.22,7310.13,5719.09,5876.63,179703838
2022-09-30,5804.82,5846.29,4865.64,5145.24,135097288
2022-10-31,5147.66,5424.03,4764.39,5328.58,150343624
2022-11-30,5395.22,6209.13,5388.77,6122.41,56962691
2022-12-31,6094.07,6387.06,5755.98,6010.43,34587775
2023-01-31,5996.69,6346.91,5748.73,6102.33,49659317
2023-02-28,6122.28,6283.71,5795.53,6269.69,34479823
2023-03-31,6269.61,6351.69,5051.17,5484.85,53665614
2023-04-30,5585.66,6117.3,5501.84,5974.84,36678450
2023-05-31,5977.49,6121.68,5644.68,5687.73,46317587
2023-06-30,5743.11,6337.15,5741.67,6075.77,47312150
2023-07-31,6104.09,6735.45,5934.41,6717.13,36108107
2023-08-31,6706.62,6778,6277.18,6436.88,39854835
2023-09-30,6459.98,6551.34,5927.61,6018.72,41756499
2023-10-31,6032.8,7047.43,5593.31,6790.42,66233177
2023-11-30,6881.47,6897.55,5985.53,6048.7,56201357
2023-12-31,6075.72,6859.04,6012.7,6697.89,54092100
2024-01-31,6785.96,6822.11,5987.65,6420.54,40898509
2024-02-29,6389.41,7045.42,6351.05,6353.84,53743296
