Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2017-01-31,4185.95,4918.65,4118.92,4918.65,16350209
2017-02-28,4941.8,4970.29,4700.63,4891.79,10496703
2017-03-31,4937.52,4944.62,4547.19,4577.12,11477156
2017-04-30,4579.63,4728.88,4395.47,4611.43,6147546
2017-05-31,4652.91,4665.45,4474.44,4594.06,8932623
2017-06-30,4619.12,4722.22,4372.9,4473.78,13204432
2017-07-31,4512.19,4569.07,4335.07,4416.97,4309812
2017-08-31,4416.34,4437.42,4016.58,4152.46,5658210
2017-09-30,4171.5,4259.87,3880.59,3904.56,6298891
2017-10-31,3941.85,3961.56,3483.05,3617.83,8728199
2017-11-30,3634.81,3651.51,3466.19,3583.98,11296543
2017-12-31,3586.13,3738.28,3563.77,3627.59,7602288
2018-01-31,3768.96,4028.09,3666.22,3939.79,6918383
2018-02-28,3981.94,3981.94,3630.44,3798.06,7153251
2018-03-31,3783.14,3920.87,3730.05,3792.63,7277914
2018-04-30,3791.48,3857.13,3677.84,3677.84,4525158
2018-05-31,3686.71,3947.33,3686.71,3755.77,6296775
2018-06-30,3706.43,3823.97,3393.43,3463.23,9279807
2018-07-31,3444.46,3616.11,3355.49,3573.1,6852424
2018-08-31,3573.07,3656.04,3457.23,3498.87,13295262
2018-09-30,3505.22,3541.31,3169.38,3441.51,13234412
2018-10-31,3454.63,3547.43,3408.87,3416.64,8476203
2018-11-30,3449.62,3728.07,3449.62,3576.6,6180082
2018-12-31,3609.96,3613.45,3304.58,3383.22,5316629
2019-01-31,3392.7,3508.49,3337.62,3469.01,6627188
2019-02-28,3473.1,3535.74,3375.71,3506.73,17107285
2019-03-31,3487.65,3643.61,3467.74,3483.75,9432771
2019-04-30,3491.74,3725.97,3487.47,3588.52,6287507
2019-05-31,3616.41,3617.72,3179.19,3225.17,31453940
2019-06-30,3241.23,3368.71,3170.26,3293.69,33430567
2019-07-31,3310.06,3520.78,3309.37,3322.17,3122247
2019-08-31,3321.46,3397.44,3098.04,3190.2,2340203
2019-09-30,3188.53,3244.61,3100.77,3124.23,3006438
2019-10-31,3137.65,3146.28,2956.38,3032.88,2549519
2019-11-30,3067.6,3070.09,2925.27,2972.75,2649399
2019-12-31,2956.98,3195.22,2919.26,3126.05,2924019
2020-01-31,3114.68,3404.65,3114.01,3279.57,3314991
2020-02-29,3289.94,3462.47,2863.3,3023.24,3015324
2020-03-31,3065.84,3122.04,2401.54,2543.29,12514767
2020-04-30,2544.03,3089.59,2538.23,2907.75,5344120
2020-05-31,2910.24,3105.12,2791.17,3040.7,6041767
2020-06-30,3066.6,3175.6,2996.61,3048.24,8180102
2020-07-31,3064.06,3084.42,2912.65,2948.91,7058410
2020-08-31,2963.7,3018.39,2883.19,2899.91,4600548
2020-09-30,2914.76,3074.53,2832.56,3003.79,7353161
2020-10-31,3007.2,3102.15,2880.17,2906.62,6571627
2020-11-30,2900.09,3741.55,2900,3498.31,8724469
2020-12-31,3523.21,3661.81,3364.93,3641.75,5997013
2021-01-31,3664.92,4204.33,3662.5,4139.81,13632314
2021-02-28,4154.24,4412.87,4078.96,4205.68,8339285
2021-03-31,4258.73,4326.41,3998.32,4090.55,6724792
2021-04-30,4131.3,4215.35,3760.3,4044.38,9696194
2021-05-31,4078.89,4474.31,4078.89,4450.48,8622404
2021-06-30,4459.61,4672.13,4354.32,4357.72,10797094
2021-07-31,4390.47,4461.95,4022.56,4273.18,5028985
2021-08-31,4310.77,4561.4,4255.91,4494.72,4774486
2021-09-30,4499.9,4867.75,4439.11,4662.86,6312680
2021-10-31,4649.75,5012.02,4645.31,4760.9,16968443
2021-11-30,4802.19,4840.64,4189.32,4527.9,23235630
2021-12-31,4533.17,4628.76,4281.6,4484.31,15309661
2022-01-31,4497.61,4557.73,3905.95,4005.58,29496708
2022-02-28,4056.22,4418.92,2364.05,2804.09,16232093
2022-03-31,2784,3231.94,1935.31,2954.92,53615304
2022-04-30,2951.96,3110.78,2419.97,2530.87,6417936
2022-05-31,2549.13,2822.93,2286.67,2607.59,6329676
2022-06-30,2607.55,2714.05,2013.74,2125.36,4191706.7339901
2022-07-31,2157.1,2782.79,2035.77,2521.99,7262256
2022-08-31,2526.33,2584.92,2207.67,2251.2,3776186
2022-09-30,2277.22,2427.82,1963.79,1989.94,10861592
2022-10-31,1993.92,2208.54,1889.68,1962.31,3781162
2022-11-30,1950.92,2334.79,1914.42,2075.4,6586831
2022-12-31,2082.14,2087.76,1973.86,2016.48,4218991
2023-01-31,2041.11,2211.5,2030.63,2131.53,5753729
2023-02-28,2153.82,2286.01,2094.99,2251.02,4929006
2023-03-31,2256.79,2322.76,2117.04,2210.75,7804609
2023-04-30,2213.83,2308.75,2198.66,2279.19,5844852
2023-05-31,2283.33,2367.09,2168.45,2215.53,5094377
2023-06-30,2239.92,2258.08,2139.93,2152.65,2446356.0111732
2023-07-31,2171.46,2319.71,2170.42,2231.55,2781704
2023-08-31,2233.62,2259.28,2138.04,2190.32,3009027
2023-09-30,2202.72,2206.69,2061.08,2106.6,2811113
2023-10-31,2095.1,2156.4,2059.53,2130.91,1715112
2023-11-30,2120.18,2172.81,2071.68,2150.76,1297087
2023-12-31,2161.07,2213.91,2120.07,2202.63,2212565
2024-01-31,2207.48,2328.94,2155.16,2321.27,1939443
2024-02-29,2300.91,2346.61,2250.9,2274.83,1446182
